age,income,employment_status,loan_amount,debt,savings,credit_history,payment_history,existing_loans,loan_duration_months,debt_to_income_ratio,loan_to_income_ratio,creditworthy,credit_status
25,16113.6,1 to 4 years,2238.0,298.4,less than 100 DM,critical account or other credits existing,critical account history,2,18,0.2222,0.1389,1,Good Credit
21,2648.35,less than 1 year,1126.0,87.58,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,18,0.3968,0.4252,1,Good Credit
40,28906.08,unemployed,7374.0,1147.07,less than 100 DM,critical account or other credits existing,critical account history,2,18,0.4762,0.2551,1,Good Credit
27,10048.32,1 to 4 years,2326.0,186.08,500 to 1000 DM,critical account or other credits existing,critical account history,1,15,0.2222,0.2315,1,Good Credit
27,20218.38,4 to 7 years,1449.0,418.6,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,9,0.2484,0.0717,1,Good Credit
30,6552.0,1 to 4 years,1820.0,121.33,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.2222,0.2778,1,Good Credit
19,5839.02,less than 1 year,983.0,90.11,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,12,0.1852,0.1684,1,Good Credit
39,6725.43,4 to 7 years,3249.0,108.3,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.1932,0.4831,1,Good Credit
31,29707.26,4 to 7 years,1957.0,358.78,less than 100 DM,critical account or other credits existing,critical account history,1,6,0.1449,0.0659,1,Good Credit
31,12992.4,unemployed,2406.0,320.8,less than 100 DM,critical account or other credits existing,critical account history,1,9,0.2963,0.1852,1,Good Credit
32,22470.65,4 to 7 years,11760.0,361.85,100 to 500 DM,delay in paying off in the past,past payment delay,1,39,0.1932,0.5233,1,Good Credit
55,8797.43,unemployed,2578.0,279.28,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3809,0.293,1,Good Credit
46,7122.27,1 to 4 years,2348.0,169.58,less than 100 DM,critical account or other credits existing,critical account history,2,36,0.2857,0.3297,1,Good Credit
46,20986.68,7 or more years,1223.0,224.22,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,12,0.1282,0.0583,0,Bad Credit
43,5942.72,1 to 4 years,1516.0,176.87,1000 DM or more,critical account or other credits existing,critical account history,2,24,0.3571,0.2551,1,Good Credit
39,4021.29,less than 1 year,1473.0,106.38,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.3175,0.3663,1,Good Credit
28,9862.72,1 to 4 years,1887.0,293.53,unknown or no savings account,critical account or other credits existing,critical account history,2,18,0.3571,0.1913,1,Good Credit
27,42029.28,less than 1 year,8648.0,864.8,less than 100 DM,delay in paying off in the past,past payment delay,2,24,0.2469,0.2058,0,Bad Credit
27,5389.44,1 to 4 years,802.0,160.4,less than 100 DM,delay in paying off in the past,past payment delay,2,14,0.3571,0.1488,1,Good Credit
43,9848.87,7 or more years,2899.0,225.48,unknown or no savings account,delay in paying off in the past,past payment delay,1,18,0.2747,0.2943,1,Good Credit
22,6055.83,less than 1 year,2039.0,93.45,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.1852,0.3367,0,Bad Credit
43,9904.08,4 to 7 years,2197.0,256.32,unknown or no savings account,critical account or other credits existing,critical account history,2,24,0.3106,0.2218,1,Good Credit
27,2971.99,less than 1 year,1053.0,98.28,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.3968,0.3543,1,Good Credit
26,9567.51,7 or more years,3235.0,175.23,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2198,0.3381,1,Good Credit
28,12699.04,4 to 7 years,939.0,328.65,500 to 1000 DM,critical account or other credits existing,critical account history,3,12,0.3106,0.0739,0,Bad Credit
20,5011.92,7 or more years,1967.0,114.74,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2747,0.3925,1,Good Credit
35,27600.96,4 to 7 years,7253.0,571.45,less than 100 DM,critical account or other credits existing,critical account history,2,33,0.2484,0.2628,1,Good Credit
42,13476.96,unemployed,2292.0,534.8,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.4762,0.1701,0,Bad Credit
40,8719.62,1 to 4 years,1597.0,207.61,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.2857,0.1832,1,Good Credit
35,2706.76,1 to 4 years,1381.0,80.56,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,24,0.3572,0.5102,0,Bad Credit
35,27340.56,7 or more years,5842.0,389.47,less than 100 DM,critical account or other credits existing,critical account history,2,36,0.1709,0.2137,1,Good Credit
33,9098.71,less than 1 year,2579.0,300.88,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3968,0.2834,0,Bad Credit
23,74544.8,1 to 4 years,8471.0,1035.34,unknown or no savings account,delay in paying off in the past,past payment delay,2,18,0.1667,0.1136,1,Good Credit
31,12065.93,4 to 7 years,2782.0,145.72,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,21,0.1449,0.2306,1,Good Credit
33,2723.09,1 to 4 years,1042.0,81.04,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,18,0.3571,0.3827,0,Bad Credit
20,15828.05,4 to 7 years,3186.0,254.88,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,15,0.1932,0.2013,1,Good Credit
30,7949.76,1 to 4 years,2028.0,236.6,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.3571,0.2551,1,Good Credit
47,11898.36,4 to 7 years,958.0,191.6,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.1932,0.0805,1,Good Credit
34,8196.83,4 to 7 years,1591.0,212.13,100 to 500 DM,delay in paying off in the past,past payment delay,2,21,0.3106,0.1941,1,Good Credit
25,23697.96,7 or more years,2762.0,253.18,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.1282,0.1166,0,Bad Credit
21,12227.6,1 to 4 years,2779.0,169.83,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.1667,0.2273,1,Good Credit
29,11981.42,7 or more years,2743.0,274.3,less than 100 DM,critical account or other credits existing,critical account history,2,28,0.2747,0.2289,1,Good Credit
46,6005.44,1 to 4 years,1149.0,178.73,1000 DM or more,critical account or other credits existing,critical account history,2,18,0.3571,0.1913,1,Good Credit
20,15020.72,7 or more years,1313.0,160.48,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.1282,0.0874,1,Good Credit
55,9639.0,unemployed,1190.0,238.0,less than 100 DM,critical account or other credits existing,critical account history,3,18,0.2963,0.1235,0,Bad Credit
74,62808.77,4 to 7 years,3448.0,758.56,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,5,0.1449,0.0549,1,Good Credit
29,61171.2,1 to 4 years,11328.0,1132.8,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,24,0.2222,0.1852,0,Bad Credit
36,33022.08,unemployed,1872.0,1310.4,less than 100 DM,critical account or other credits existing,critical account history,3,6,0.4762,0.0567,1,Good Credit
33,8067.36,1 to 4 years,2058.0,240.1,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.3571,0.2551,1,Good Credit
25,12958.4,1 to 4 years,2136.0,308.53,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.2857,0.1648,1,Good Credit
25,8013.6,1 to 4 years,1484.0,148.4,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.2222,0.1852,0,Bad Credit
23,8197.2,4 to 7 years,660.0,132.0,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.1932,0.0805,1,Good Credit
37,6558.55,7 or more years,1287.0,150.15,1000 DM or more,critical account or other credits existing,critical account history,2,24,0.2747,0.1962,1,Good Credit
65,5701.92,unemployed,3394.0,226.27,less than 100 DM,critical account or other credits existing,critical account history,2,42,0.4762,0.5952,1,Good Credit
26,2148.55,less than 1 year,609.0,71.05,less than 100 DM,all credits at this bank paid back duly,paid previous credits,1,12,0.3968,0.2834,0,Bad Credit
39,9600.86,7 or more years,1884.0,219.8,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2747,0.1962,1,Good Credit
30,8748.0,1 to 4 years,1620.0,162.0,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2222,0.1852,1,Good Credit
29,17035.92,1 to 4 years,2629.0,315.48,less than 100 DM,delay in paying off in the past,past payment delay,2,20,0.2222,0.1543,1,Good Credit
41,3664.02,7 or more years,719.0,83.88,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2747,0.1962,0,Bad Credit
30,6879.6,1 to 4 years,5096.0,127.4,less than 100 DM,critical account or other credits existing,critical account history,1,48,0.2222,0.7407,0,Bad Credit
41,16905.13,7 or more years,1244.0,387.02,unknown or no savings account,critical account or other credits existing,critical account history,2,9,0.2747,0.0736,1,Good Credit
34,2166.19,less than 1 year,1842.0,71.63,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.3968,0.8503,0,Bad Credit
35,23846.4,1 to 4 years,2576.0,441.6,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,7,0.2222,0.108,1,Good Credit
55,8422.96,7 or more years,1424.0,154.27,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.2198,0.1691,1,Good Credit
61,11007.36,1 to 4 years,1512.0,262.08,1000 DM or more,delay in paying off in the past,past payment delay,2,15,0.2857,0.1374,0,Bad Credit
30,14443.89,1 to 4 years,11054.0,429.88,unknown or no savings account,critical account or other credits existing,critical account history,1,36,0.3571,0.7653,1,Good Credit
29,4713.8,1 to 4 years,518.0,112.23,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.2857,0.1099,1,Good Credit
34,38736.36,7 or more years,2759.0,551.8,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,12,0.1709,0.0712,1,Good Credit
35,6803.16,7 or more years,2670.0,155.75,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2747,0.3925,1,Good Credit
31,14956.78,4 to 7 years,4817.0,240.85,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.1932,0.3221,0,Bad Credit
29,4725.76,less than 1 year,2679.0,156.27,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,1,Good Credit
36,46008.0,1 to 4 years,3905.0,852.0,less than 100 DM,critical account or other credits existing,critical account history,2,11,0.2222,0.0849,1,Good Credit
35,20028.19,7 or more years,3386.0,366.82,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2198,0.1691,0,Bad Credit
27,2420.21,less than 1 year,343.0,80.03,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.3968,0.1417,1,Good Credit
32,12541.62,less than 1 year,4594.0,331.79,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.3175,0.3663,1,Good Credit
37,7964.0,1 to 4 years,3620.0,110.61,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.1667,0.4545,1,Good Credit
36,6691.25,less than 1 year,1721.0,137.68,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.2469,0.2572,1,Good Credit
34,12354.62,less than 1 year,3017.0,326.84,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3175,0.2442,1,Good Credit
38,7684.77,7 or more years,754.0,175.93,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,2,12,0.2747,0.0981,1,Good Credit
34,11720.8,4 to 7 years,1950.0,303.33,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,18,0.3106,0.1664,1,Good Credit
63,6652.1,1 to 4 years,2924.0,158.38,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2857,0.4396,1,Good Credit
29,2926.48,less than 1 year,1659.0,96.78,less than 100 DM,delay in paying off in the past,past payment delay,1,24,0.3968,0.5669,0,Bad Credit
32,21406.38,7 or more years,7238.0,392.06,unknown or no savings account,delay in paying off in the past,past payment delay,2,48,0.2198,0.3381,1,Good Credit
26,10854.98,1 to 4 years,2764.0,201.02,less than 100 DM,delay in paying off in the past,past payment delay,2,33,0.2222,0.2546,1,Good Credit
35,24482.87,4 to 7 years,4679.0,506.89,less than 100 DM,delay in paying off in the past,past payment delay,2,24,0.2484,0.1911,1,Good Credit
22,6330.87,less than 1 year,3092.0,167.48,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3175,0.4884,0,Bad Credit
23,3161.09,less than 1 year,448.0,104.53,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.3968,0.1417,0,Bad Credit
28,3418.24,1 to 4 years,654.0,101.73,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.3571,0.1913,0,Bad Credit
36,7279.44,unemployed,1238.0,288.87,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,6,0.4762,0.1701,1,Good Credit
33,3253.6,1 to 4 years,1245.0,96.83,less than 100 DM,critical account or other credits existing,critical account history,1,18,0.3571,0.3827,0,Bad Credit
26,12331.44,less than 1 year,3114.0,190.3,less than 100 DM,no credits taken or all paid back duly,no prior payment record,1,18,0.1852,0.2525,0,Bad Credit
24,3098.61,1 to 4 years,2569.0,92.22,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,39,0.3571,0.8291,1,Good Credit
25,11612.61,4 to 7 years,5152.0,300.53,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3106,0.4437,1,Good Credit
39,5426.1,4 to 7 years,1037.0,112.34,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2484,0.1911,1,Good Credit
44,12051.02,7 or more years,1478.0,275.89,less than 100 DM,critical account or other credits existing,critical account history,2,15,0.2747,0.1226,1,Good Credit
23,23581.8,1 to 4 years,3573.0,327.53,less than 100 DM,critical account or other credits existing,critical account history,1,12,0.1667,0.1515,1,Good Credit
26,2118.56,less than 1 year,1201.0,70.06,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,1,Good Credit
57,14766.17,7 or more years,3622.0,338.05,1000 DM or more,existing credits paid back duly till now,paid current credits on time,2,30,0.2747,0.2453,1,Good Credit
30,8037.12,4 to 7 years,960.0,166.4,1000 DM or more,delay in paying off in the past,past payment delay,2,15,0.2484,0.1194,1,Good Credit
44,4558.96,1 to 4 years,1163.0,135.68,500 to 1000 DM,critical account or other credits existing,critical account history,1,12,0.3571,0.2551,1,Good Credit
47,7108.92,unemployed,1209.0,282.1,less than 100 DM,delay in paying off in the past,past payment delay,1,6,0.4762,0.1701,0,Bad Credit
52,16615.8,1 to 4 years,3077.0,307.7,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2222,0.1852,1,Good Credit
62,9572.84,7 or more years,3757.0,219.16,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2747,0.3925,1,Good Credit
35,7742.28,1 to 4 years,1418.0,184.34,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.2857,0.1832,1,Good Credit
26,37994.4,1 to 4 years,3518.0,703.6,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.2222,0.0926,1,Good Credit
26,27153.36,7 or more years,1934.0,386.8,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.1709,0.0712,1,Good Credit
42,51904.32,7 or more years,8318.0,739.38,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,27,0.1709,0.1603,0,Bad Credit
27,32656.8,1 to 4 years,1237.0,453.57,100 to 500 DM,critical account or other credits existing,critical account history,2,6,0.1667,0.0379,1,Good Credit
38,3750.66,7 or more years,368.0,85.87,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,6,0.2747,0.0981,1,Good Credit
39,19310.2,1 to 4 years,2122.0,459.77,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.2857,0.1099,1,Good Credit
20,8089.2,1 to 4 years,2996.0,149.8,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,24,0.2222,0.3704,0,Bad Credit
29,10623.98,less than 1 year,9034.0,351.32,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.3968,0.8503,0,Bad Credit
40,7145.18,4 to 7 years,1585.0,184.92,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.3106,0.2218,1,Good Credit
32,4419.93,7 or more years,1301.0,101.19,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.2747,0.2943,1,Good Credit
28,37149.84,7 or more years,1323.0,529.2,100 to 500 DM,critical account or other credits existing,critical account history,2,6,0.1709,0.0356,1,Good Credit
27,5508.97,less than 1 year,3123.0,182.18,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,0,Bad Credit
42,12853.62,7 or more years,5493.0,183.1,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.1709,0.4274,1,Good Credit
49,10539.36,7 or more years,1126.0,150.13,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.1709,0.1068,1,Good Credit
38,4290.05,less than 1 year,1216.0,141.87,100 to 500 DM,critical account or other credits existing,critical account history,2,24,0.3968,0.2834,0,Bad Credit
24,2129.15,less than 1 year,1207.0,70.41,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,0,Bad Credit
27,6157.54,1 to 4 years,1309.0,183.26,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,10,0.3571,0.2126,0,Bad Credit
36,10195.2,1 to 4 years,2360.0,188.8,500 to 1000 DM,critical account or other credits existing,critical account history,1,15,0.2222,0.2315,1,Good Credit
34,27126.0,unemployed,6850.0,502.33,100 to 500 DM,all credits at this bank paid back duly,paid previous credits,1,15,0.2222,0.2525,0,Bad Credit
28,2769.48,1 to 4 years,1413.0,82.42,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3571,0.5102,1,Good Credit
45,13465.98,7 or more years,8588.0,308.29,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,39,0.2747,0.6378,1,Good Credit
26,3421.57,4 to 7 years,759.0,88.55,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3106,0.2218,0,Bad Credit
32,8434.8,1 to 4 years,4686.0,156.2,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.2222,0.5556,1,Good Credit
26,13349.02,4 to 7 years,2687.0,214.96,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.1932,0.2013,1,Good Credit
20,4586.4,1 to 4 years,585.0,136.5,less than 100 DM,delay in paying off in the past,past payment delay,2,12,0.3571,0.1276,1,Good Credit
54,3977.82,less than 1 year,2255.0,131.54,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,1,Good Credit
37,10981.49,4 to 7 years,609.0,284.2,less than 100 DM,critical account or other credits existing,critical account history,2,6,0.3106,0.0555,1,Good Credit
40,13228.92,less than 1 year,1361.0,272.2,less than 100 DM,critical account or other credits existing,critical account history,1,6,0.2469,0.1029,1,Good Credit
23,23091.48,less than 1 year,7127.0,475.13,less than 100 DM,critical account or other credits existing,critical account history,2,36,0.2469,0.3086,0,Bad Credit
43,14231.49,7 or more years,1203.0,260.65,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.2198,0.0845,1,Good Credit
36,14268.8,7 or more years,700.0,326.67,unknown or no savings account,critical account or other credits existing,critical account history,2,6,0.2747,0.0491,1,Good Credit
44,32573.9,7 or more years,5507.0,596.59,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.2198,0.1691,1,Good Credit
24,11484.0,1 to 4 years,3190.0,212.67,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.2222,0.2778,0,Bad Credit
53,16195.72,1 to 4 years,7119.0,385.61,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,48,0.2857,0.4396,0,Bad Credit
23,9125.48,4 to 7 years,3488.0,188.93,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2484,0.3822,1,Good Credit
26,2908.64,1 to 4 years,1113.0,86.57,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.3572,0.3827,1,Good Credit
30,35736.7,less than 1 year,7966.0,735.32,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,26,0.2469,0.2229,1,Good Credit
31,4804.35,1 to 4 years,1532.0,142.99,100 to 500 DM,critical account or other credits existing,critical account history,1,15,0.3572,0.3189,1,Good Credit
42,56001.78,4 to 7 years,1503.0,901.8,less than 100 DM,critical account or other credits existing,critical account history,2,4,0.1932,0.0268,1,Good Credit
31,3007.95,1 to 4 years,2302.0,89.52,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.3571,0.7653,0,Bad Credit
41,5421.78,less than 1 year,662.0,143.43,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.3175,0.1221,1,Good Credit
32,7928.98,4 to 7 years,2273.0,164.16,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,36,0.2484,0.2867,1,Good Credit
28,22731.84,1 to 4 years,2631.0,420.96,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,2,15,0.2222,0.1157,0,Bad Credit
41,5891.76,1 to 4 years,1503.0,175.35,less than 100 DM,delay in paying off in the past,past payment delay,1,12,0.3571,0.2551,1,Good Credit
26,2954.99,4 to 7 years,1311.0,76.47,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3105,0.4437,1,Good Credit
25,10954.44,less than 1 year,3105.0,362.25,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,2,24,0.3968,0.2834,1,Good Credit
33,6440.19,less than 1 year,2319.0,132.51,less than 100 DM,critical account or other credits existing,critical account history,1,21,0.2469,0.3601,0,Bad Credit
75,8079.12,unemployed,1374.0,320.6,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,6,0.4762,0.1701,1,Good Credit
37,14243.32,7 or more years,3612.0,260.87,less than 100 DM,critical account or other credits existing,critical account history,1,18,0.2198,0.2536,1,Good Credit
42,9890.06,7 or more years,7763.0,226.42,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,48,0.2747,0.7849,0,Bad Credit
45,12074.04,less than 1 year,3049.0,186.33,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.1852,0.2525,1,Good Credit
23,9111.96,less than 1 year,1534.0,140.62,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.1852,0.1684,0,Bad Credit
60,10355.07,7 or more years,2032.0,237.07,less than 100 DM,delay in paying off in the past,past payment delay,2,24,0.2747,0.1962,1,Good Credit
31,12943.84,7 or more years,6350.0,296.33,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,30,0.2747,0.4906,0,Bad Credit
34,10310.4,1 to 4 years,2864.0,190.93,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.2222,0.2778,0,Bad Credit
61,12790.96,7 or more years,1255.0,292.83,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.2747,0.0981,1,Good Credit
43,3919.02,unemployed,1333.0,155.52,less than 100 DM,delay in paying off in the past,past payment delay,2,24,0.4762,0.3401,0,Bad Credit
37,3963.12,1 to 4 years,2022.0,117.95,less than 100 DM,critical account or other credits existing,critical account history,1,24,0.3571,0.5102,1,Good Credit
32,4060.42,4 to 7 years,1552.0,84.07,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2485,0.3822,1,Good Credit
24,2453.92,1 to 4 years,626.0,73.03,less than 100 DM,all credits at this bank paid back duly,paid previous credits,1,12,0.3571,0.2551,0,Bad Credit
35,27504.09,4 to 7 years,8858.0,442.9,unknown or no savings account,critical account or other credits existing,critical account history,2,48,0.1932,0.3221,1,Good Credit
23,8979.94,4 to 7 years,996.0,232.4,unknown or no savings account,critical account or other credits existing,critical account history,2,12,0.3106,0.1109,1,Good Credit
45,24570.0,7 or more years,1750.0,350.0,500 to 1000 DM,all credits at this bank paid back duly,paid previous credits,1,6,0.1709,0.0712,1,Good Credit
34,26561.2,4 to 7 years,6999.0,320.79,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,48,0.1449,0.2635,0,Bad Credit
27,7038.36,less than 1 year,1995.0,232.75,100 to 500 DM,critical account or other credits existing,critical account history,1,12,0.3968,0.2834,1,Good Credit
67,14413.58,4 to 7 years,1199.0,373.02,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,9,0.3106,0.0832,1,Good Credit
22,6468.66,less than 1 year,1331.0,133.1,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2469,0.2058,0,Bad Credit
28,12437.88,less than 1 year,2278.0,329.04,100 to 500 DM,no credits taken or all paid back duly,no prior payment record,2,18,0.3175,0.1832,0,Bad Credit
29,37736.91,1 to 4 years,5003.0,524.12,unknown or no savings account,no credits taken or all paid back duly,no prior payment record,2,21,0.1667,0.1326,0,Bad Credit
27,9292.92,4 to 7 years,3552.0,192.4,less than 100 DM,all credits at this bank paid back duly,paid previous credits,1,24,0.2484,0.3822,0,Bad Credit
31,12493.44,less than 1 year,1928.0,257.07,less than 100 DM,critical account or other credits existing,critical account history,2,18,0.2469,0.1543,0,Bad Credit
49,7552.27,7 or more years,2964.0,172.9,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,24,0.2747,0.3925,1,Good Credit
24,3484.68,4 to 7 years,1546.0,90.18,less than 100 DM,all credits at this bank paid back duly,paid previous credits,1,24,0.3105,0.4437,0,Bad Credit
29,6638.76,less than 1 year,683.0,136.6,less than 100 DM,delay in paying off in the past,past payment delay,1,6,0.2469,0.1029,1,Good Credit
37,27255.8,1 to 4 years,12389.0,378.55,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,36,0.1667,0.4545,0,Bad Credit
37,18471.04,1 to 4 years,4712.0,549.73,unknown or no savings account,delay in paying off in the past,past payment delay,2,24,0.3571,0.2551,1,Good Credit
23,8126.07,4 to 7 years,1553.0,168.24,100 to 500 DM,delay in paying off in the past,past payment delay,2,24,0.2484,0.1911,1,Good Credit
36,8520.12,4 to 7 years,1372.0,137.2,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.1932,0.161,0,Bad Credit
34,9048.78,7 or more years,2578.0,128.9,1000 DM or more,critical account or other credits existing,critical account history,1,24,0.1709,0.2849,1,Good Credit
41,8968.67,4 to 7 years,3979.0,232.11,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,2,48,0.3106,0.4437,1,Good Credit
31,7687.22,1 to 4 years,6758.0,183.03,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,48,0.2857,0.8791,0,Bad Credit
23,5704.78,less than 1 year,3234.0,188.65,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,0,Bad Credit
38,12461.72,4 to 7 years,5954.0,258.01,less than 100 DM,critical account or other credits existing,critical account history,1,30,0.2485,0.4778,1,Good Credit
26,11001.82,unemployed,5433.0,271.65,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,24,0.2963,0.4938,1,Good Credit
22,2527.62,1 to 4 years,806.0,75.23,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.3572,0.3189,1,Good Credit
27,14703.66,7 or more years,1082.0,336.62,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,9,0.2747,0.0736,1,Good Credit
24,27701.57,4 to 7 years,2788.0,446.08,less than 100 DM,critical account or other credits existing,critical account history,2,15,0.1932,0.1006,1,Good Credit
27,18195.3,4 to 7 years,2930.0,293.0,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.1932,0.161,1,Good Credit
33,8767.85,1 to 4 years,1927.0,208.76,unknown or no savings account,critical account or other credits existing,critical account history,2,24,0.2857,0.2198,1,Good Credit
